spotify.genre,artist.id,artist.image
dance pop,spotify:artist:7ftZLBtMuNBXnnDFKbAblK,https://i.scdn.co/image/f54b7ed44a3e01ad164911cf2f4c3d5454164297
pop,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://i.scdn.co/image/a54d30761868a51a0629009cb5eafd155b014ca7
rock,spotify:artist:0vEsuISMWAKNctLlUAhSZC,https://i.scdn.co/image/68352fae7564d4c3a88dcc47837c84c97633100e
pop,spotify:artist:1XkoF8ryArs86LZvFOkbyr,https://i.scdn.co/image/ad9e6c40002dfb1ce0503d8c576795b0d37fcc48
pop,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,https://i.scdn.co/image/20e78a9ef314b580776bff93e8e073f74c79b969
country,spotify:artist:6roFdX1y5BYSbp60OTJWMd,https://i.scdn.co/image/17dd25819564cb8cd9c5111d8ac7948615969da5
rock,spotify:artist:4uN3DsfENc7dp0OLO0FEIb,https://i.scdn.co/image/ffe9bd1d13dff603a941bf357bd4d31a98feb17d
pop,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://i.scdn.co/image/e49c3d4c0607fe0a35c45d7f29a9aaf082263d3d
r&b,spotify:artist:5KNqYrivNgVCHBssEUSu5B,https://i.scdn.co/image/04c6299aebcd4d533bb534b353204251e51dfed1
country,spotify:artist:13YmWQJFwgZrd4bf5IjMY4,https://i.scdn.co/image/0c04e85216b4990927723a580e6abcbe23cccb90
country,spotify:artist:3qbnxnvUqR14MJ9g8QwZJK,https://i.scdn.co/image/4461d0d364a545ab2b00ac3a1a64604e49c14f8c
NA,spotify:artist:5lt1FDljqQAA1jBDrsUTvs,https://i.scdn.co/image/d3744b67f2f86177445ffb1f6a875d7fc0daa9f4
country,spotify:artist:2bA6fzP0lMAQ4kz6CF61w8,https://i.scdn.co/image/f7fa421e319432a08c0f1a13cdb03d6788f4a03e
country,spotify:artist:5vngPClqofybhPERIqQMYd,https://i.scdn.co/image/5f178ec8fc7b61d83030bb5c219be57ebca1d8e5
NA,NA,NA
pop,spotify:artist:3UVRliakQfa1pMWIsNuiZ8,https://i.scdn.co/image/28e2d398637ed9e43b4656706cc9785e318e272d
country,spotify:artist:02rd0anEWfMtF7iMku9uor,https://i.scdn.co/image/a9579f0aa58a4a4325598044c62a4b876c1db775
pop,spotify:artist:3X458ddYA2YcVWuVIGGOYe,https://i.scdn.co/image/7fbe3cd2966417a5b369a934099878faa9d8a65b
pop,spotify:artist:7qG3b048QCHVRO5Pv1T5lw,https://i.scdn.co/image/b9ba677eff8e8e1d1534464064f055af14e94ecd
NA,spotify:artist:7ocwZINHqO9DZJgFtc1B20,https://i.scdn.co/image/10affa05fe71105919a5039b31009e841ac1ad72
rock,spotify:artist:58lV9VcRSjABbAbfWS6skp,https://i.scdn.co/image/255476a832d9647d73ed03ae51727cb911c565df
